data,model_type,feature,mean_importance,std_importance
all05,MLP,b2_dbifm_dry_p50,0.009867516426810564,0.010230278416982142
all05,MLP,b2_dp1fm_dry_p50,0.009509625144823243,0.012341493603099227
all05,MLP,b5_dbifm_p50,0.008639122661974438,0.01144480716925806
all05,RFR,dbifman_r64_p50,0.024084839402335773,0.007052022643684036
all05,RFR,dbifmdry_NDVI_p50,0.020915269399524816,0.007614948983780218
all05,RFR,dbifmdry_MSR_p50,0.020405818428933988,0.006495937819570171
all05,RFR,dbifmdry_r43_p50,0.02022170134682165,0.006509471175667223
all05,RFR,dbifman_r43_p50,0.018392357450172973,0.007089029914025606
all05,RFR,dbifman_r54_p50,0.017448638244107473,0.004818293879640268
all05,RFR,dbifman_MSR_p50,0.016184486771930472,0.006785289749231008
all05,RFR,dbifman_NBR_p50,0.015405741878728004,0.007774155182065541
all05,RFR,dbifman_NDII_p50,0.013946225309311198,0.0036568790427692214
all05,RFR,dbifman_NDVI_p50,0.013925207752928227,0.004827999347411996
all05,RFR,dbifmdry_r42_p50,0.011733842143603127,0.002677649470094397
all05,RFR,b1_hsd_p50,0.0110602907851964,0.007153468109498227
all05,RFR,b6_dbifm_dry_p50,0.010953402867370652,0.006054412662417016
all05,RFR,dbifmdry_GNDVI_p50,0.010319417807288789,0.005681220052416289
all05,RFR,dbifman_GNDVI_p50,0.01024338648339682,0.003076670230369283
all05,RFR,b1_h25_p50,0.00947955251573486,0.004208484740556204
all05,RFR,dbifmdry_NBR_p50,0.009368935720136225,0.004427098197329136
all05,RFR,b1_wfp_dry_p50,0.00873408568742594,0.0039129944331194565
all05,RFR,dbifman_r42_p50,0.00870655049919347,0.0028581675531249412
all05,RFR,b1_hmc_p50,0.008083942021322241,0.004445527438180502
all05,XGBR,dbifman_r43_p50,0.10719185924259787,0.026352520988076403
all05,XGBR,dbifman_r64_p50,0.03307810139891111,0.001683202517527974
all05,XGBR,dbifman_NBR_p50,0.03228754171481498,0.03729475332173122
all05,XGBR,b2_dbifm_p50,0.02829528966524811,0.03354344323846936
all05,XGBR,b6_dbifm_p50,0.007400563506978646,0.006868102157676304
all05,XGBR,b6_dbifm_dry_p50,0.006444318101157251,0.0033213688397687046
all05,XGBR,dbifman_MSR_p50,0.00599417876453901,0.007771228260514188
all05,XGBR,dbifmdry_r54_p50,0.005661871031749884,0.0003021705346927173
all05,XGBR,dbifman_NDII_p50,0.00534716249639445,0.006689713492039653
all05,XGBR,dbifmdry_MSR_p50,0.0052347864907269686,0.0023783761460439657
all05,XGBR,b2_dbifm_dry_p50,0.005166745218573298,0.005883942742147097
all05,XGBR,b3_dbifm_p50,0.004743976260034019,0.0036191406542111807
all05,XGBR,dbifman_r52_p50,0.0033119700190671463,0.0035316300350223435
all05,XGBR,dbifmdry_r64_p50,0.0033079739801099854,0.0001658346941375317
all05,XGBR,b1_h99_p50,0.003024366258946634,0.0007545329982260222
all05,XGBR,b1_dbifm_p50,0.0028753268187070207,0.001402198480034678
all05,XGBR,dbifmdry_NDVI_p50,0.002514737827226541,0.00012606833697051287
all05,XGBR,dbifman_r54_p50,0.002403486315757135,8.730022372634522e-05
all05,XGBR,dbifmdry_GNDVI_p50,0.002007513388615539,0.0018196322910991858
all05,XGBR,b5_dbifm_dry_p50,0.0017721760151120842,0.0015473014124781402
