uid,site,date,lon_gda94,lat_gda94,tot_ba_m2ha,bio_l_kg1ha,bio_t_kg1ha,bio_b_kg1ha,bio_w_kg1ha,bio_br_kg1ha,bio_s_kg1ha,bio_r_kg1ha,bio_agb_kg1ha,c_l_kg1ha,c_t_kg1ha,c_b_kg1ha,c_w_kg1ha,c_br_kg1ha,c_s_kg1ha,c_r_kg1ha,c_agb_kg1ha
45,NTAGFU0040,20120715,133.8448,-14.67371,1.7375,1107.466755319149,1107.9528061224491,4329.011479591836,14083.565051020407,10679.751275510203,18412.576530612245,6190.829081632653,30154.591836734693,520.509375,542.896875,2121.215625,6900.946875,5233.078125,9022.1625,3033.50625,14775.75
46,NTAGFU0041,20160502,132.8915,-14.77999,0.928571428571429,1947.0820668693002,1945.0728862973751,6570.539358600579,20179.41690962098,15404.810495626814,26749.956268221562,9251.924198250723,44022.37609329444,915.128571428571,953.0857142857138,3219.564285714284,9887.91428571428,7548.357142857139,13107.478571428564,4533.442857142854,21570.964285714275
47,NTAMGD0001,20140313,137.3271,-20.02302,4.46666666666667,883.8297872340432,884.2176870748307,3454.829931972792,11239.591836734702,8523.129251700688,14694.421768707496,4940.680272108847,24065.306122448997,415.4000000000003,433.26666666666705,1692.8666666666682,5507.400000000004,4176.333333333337,7200.266666666673,2420.933333333335,11792.00000000001
48,NTAMGD0002,20140312,137.3258,-20.02464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,NTAMGD0003,20160428,133.4389,-17.35821,1.63888888888889,457.85460992907826,458.0555555555557,1789.722222222223,5822.500000000003,4415.27777777778,7612.222222222226,2559.4444444444457,12466.666666666673,215.19166666666678,224.4472222222223,876.9638888888893,2853.0250000000015,2163.486111111112,3729.988888888891,1254.1277777777784,6108.66666666667
50,NTAMGD0004,20160429,133.5235,-17.52132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,NTAMGD0005,20160429,133.4836,-17.45585,0.7,782.8324468085107,783.1760204081633,3060.0382653061224,9955.216836734693,7549.170918367347,13015.255102040815,4376.09693877551,21315.306122448976,367.93125,383.75624999999997,1499.41875,4878.05625,3699.09375,6377.474999999999,2144.2875,10444.499999999998
52,NTAPCK0001,20160504,132.8181,-12.67578,0.875,1090.4787234042553,1088.9455782312923,4130.47619047619,20953.622448979593,8564.676870748299,25085.884353741494,7530.850340136054,34696.5306122449,512.525,533.5833333333333,2023.9333333333332,10267.275,4196.691666666667,12292.083333333332,3690.1166666666663,17001.3
53,NTAPCK0002,20160505,132.7935,-12.82043,0.5,2338.547154677474,2336.9389779721405,8516.173266925818,32303.749797538057,19688.487001943628,40819.92306446387,13191.936750890829,62751.506316812425,1099.1171626984126,1145.100099206349,4172.9249007936505,15828.837400793647,9647.358630952378,20001.762301587296,6464.049007936506,30748.238095238088
54,NTASTU0001,20160430,133.4119,-15.87686,0.6,740.2583586626137,739.9044379656622,2646.988986070618,8327.827988338191,6339.395853579524,10974.816974408806,3751.159701976027,18024.256559766756,347.9214285714284,362.55317460317445,1297.0246031746028,4080.635714285713,3106.3039682539666,5377.660317460315,1838.0682539682532,8831.88571428571
55,NTASTU0002,20160501,133.3782,-15.76784,0.1,963.2934397163111,963.1646825396816,3565.06094104308,11367.767857142844,8640.066609977315,14932.828798185927,5070.496031746027,24496.87074829929,452.7479166666662,471.95069444444397,1746.8798611111092,5570.206249999994,4233.632638888885,7317.0861111111035,2484.543055555553,12003.466666666653
56,NTASTU0003,20160501,133.3275,-15.70665,0.35,520.1170212765958,519.5816326530612,1755.642857142857,5392.561224489796,4116.581632653061,7148.204081632653,2472.1836734693875,11763.673469387755,244.45499999999998,254.595,860.265,2642.355,2017.125,3502.62,1211.37,5764.2
57,NTASTU0004,20160503,132.9914,-14.86384,0.466666666666667,1399.601063829787,1397.2606899902817,4397.442905733721,13071.701895043732,10018.191205053448,17469.144800777452,6139.637998056365,28829.81049562682,657.8124999999999,684.657738095238,2154.7470238095234,6405.133928571428,4908.91369047619,8559.880952380952,3008.422619047619,14126.607142857143
58,NTASTU0005,20160503,133.0478,-14.90864,0.82,1778.7303275920294,1775.2330741820533,5398.651279559442,15776.048104956268,12116.29332685455,21174.699384515712,7504.689666342728,34997.12180110139,836.0032539682538,869.8642063492061,2645.3391269841263,7730.263571428571,5936.9837301587295,10375.602698412698,3677.2979365079364,17148.58968253968
59,NTTDAB0001,20140317,131.674,-13.96288,0.363636363636364,781.0599613152807,780.4205318491034,3076.064316635746,16113.7625231911,6648.666666666669,19189.826839826845,5659.995052566483,26587.673469387762,367.0981818181819,382.4060606060607,1507.2715151515154,7895.743636363639,3257.8466666666677,9403.015151515154,2773.3975757575763,13027.960000000003
60,NTTDAC0001,20140318,130.7957,-13.13983,0.1,1349.6312056737584,1349.5260770975055,5089.029478458047,17411.193877551013,12241.899092970518,22500.223356009068,7473.086167800451,36036.66666666666,634.3266666666664,661.2677777777777,2493.6244444444433,8531.484999999997,5998.530555555553,11025.109444444442,3661.812222222221,17657.96666666666
61,NTTMGD0001,20140315,133.4239,-17.28297,0.821428571428571,633.5840932117536,633.8621639131852,2476.6367022999707,8057.237609329456,6109.908487204414,10533.874311629428,3541.7865241334675,17251.50631681246,297.78452380952416,310.59246031746073,1213.5519841269856,3948.0464285714334,2993.8551587301627,5161.598412698419,1735.475396825399,8453.238095238106
62,NTTPCK0001,20140319,131.127,-12.87196,0.3,1198.306653157717,1197.7418205377387,4423.003077421445,16253.380628441852,10368.72206025267,20676.383705863296,6736.724651765468,32194.501943634597,563.2041269841269,586.893492063492,2167.271507936508,7964.156507936507,5080.673809523809,10131.428015873014,3300.995079365079,15775.305952380952
63,NTTSTU0001,20140315,133.2712,-16.63024,7.21111111111111,3155.7890070921985,3157.1740362811793,12335.762471655331,40131.913265306124,30432.55385487528,52467.67573696145,17641.11678004535,85927.21088435373,1483.2208333333333,1547.0152777777778,6044.523611111112,19664.6375,14911.951388888887,25709.16111111111,8644.147222222222,42104.33333333333
